Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
akringan buat modal,akringan buat modal,akringan buat modal,"['akringan', 'buat', 'modal']","['akringan', 'modal']",akringan modal
sangat sangat bagus sangat membantu,sangat sangat bagus sangat membantu,sangat sangat bagus sangat membantu,"['sangat', 'sangat', 'bagus', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
josht bisa Tf ke semua e wallet no pajak,josht bisa semua wallet pajak,josht bisa semua wallet pajak,"['josht', 'bisa', 'semua', 'wallet', 'pajak']","['josht', 'wallet', 'pajak']",josht wallet pajak
shoppepay terimakasih banyak barusan pesan tiket pesawat dan dapat diskon pembayaran 500rb semoga kedepannya lebih baik lagi dan semakin satset lgi 🙏🏻,shoppepay terimakasih banyak barusan pesan tiket pesawat dapat diskon pembayaran rb semoga kedepannya lebih baik lagi semakin satset,shoppepay terimakasih banyak barusan pesan tiket pesawat dapat diskon pembayaran ribu semoga kedepannya lebih baik lagi semakin satset,"['shoppepay', 'terimakasih', 'banyak', 'barusan', 'pesan', 'tiket', 'pesawat', 'dapat', 'diskon', 'pembayaran', 'ribu', 'semoga', 'kedepannya', 'lebih', 'baik', 'lagi', 'semakin', 'satset']","['shoppepay', 'terimakasih', 'barusan', 'pesan', 'tiket', 'pesawat', 'diskon', 'pembayaran', 'ribu', 'semoga', 'kedepannya', 'satset']",shoppepay terimakasih barusan pesan tiket pesawat diskon bayar ribu moga depan satset
sangat bagus dan mudah digunakan,sangat bagus mudah digunakan,sangat bagus mudah digunakan,"['sangat', 'bagus', 'mudah', 'digunakan']","['bagus', 'mudah']",bagus mudah
Bisa mencicipi membuat kita mudah utk melunasinya,bisa mencicipi membuat kita mudah melunasinya,bisa mencicipi membuat kita mudah melunasinya,"['bisa', 'mencicipi', 'membuat', 'kita', 'mudah', 'melunasinya']","['mencicipi', 'mudah', 'melunasinya']",cicip mudah lunas
membantu dlm segala perbelanjaan,membantu segala perbelanjaan,membantu segala perbelanjaan,"['membantu', 'segala', 'perbelanjaan']","['membantu', 'perbelanjaan']",bantu belanja
lebih mudahh,lebih mudahh,lebih mudahh,"['lebih', 'mudahh']",['mudahh'],mudahh
Mudah & cepat 👍,mudah cepat,mudah cepat,"['mudah', 'cepat']","['mudah', 'cepat']",mudah cepat
"transaksi di sini prosesnya cepat, terima kasih shopee",transaksi sini prosesnya cepat terima kasih shopee,transaksi sini prosesnya cepat terima kasih shopee,"['transaksi', 'sini', 'prosesnya', 'cepat', 'terima', 'kasih', 'shopee']","['transaksi', 'prosesnya', 'cepat', 'terima', 'kasih', 'shopee']",transaksi proses cepat terima kasih shopee
Sekarang kok gk bisa login ya klo pake no telpon udah di coba puluhan kali tetep aja gk bisa login padahal udh minta cara dari customer service tetep aja gak bisa gmn sih ini tolong minta penjelasan sama mimin shoppeepay nya🙃🙃,sekarang bisa login pake telpon udah coba puluhan kali tetep bisa login padahal minta cara dari customer service tetep bisa tolong minta penjelasan sama mimin shoppeepay,sekarang bisa login pakai telpon sudah coba puluhan kali tetap bisa login padahal meminta cara dari customer service tetap bisa tolong meminta penjelasan sama admin shoppeepay,"['sekarang', 'bisa', 'login', 'pakai', 'telpon', 'sudah', 'coba', 'puluhan', 'kali', 'tetap', 'bisa', 'login', 'padahal', 'meminta', 'cara', 'dari', 'customer', 'service', 'tetap', 'bisa', 'tolong', 'meminta', 'penjelasan', 'sama', 'admin', 'shoppeepay']","['login', 'pakai', 'telpon', 'coba', 'puluhan', 'kali', 'login', 'customer', 'service', 'tolong', 'penjelasan', 'admin', 'shoppeepay']",login pakai telpon coba puluh kali login customer service tolong jelas admin shoppeepay
sangat membantu dan mudah buat di gunakan,sangat membantu mudah buat gunakan,sangat membantu mudah buat gunakan,"['sangat', 'membantu', 'mudah', 'buat', 'gunakan']","['membantu', 'mudah']",bantu mudah
sangat mudah untuk digunakan,sangat mudah untuk digunakan,sangat mudah untuk digunakan,"['sangat', 'mudah', 'untuk', 'digunakan']",['mudah'],mudah
"maaf, bintang satu, udah dilunasi suruh bayar lagi padahal cicilan 3 bulan langsung ku lunasi tapi disuruh bayar lagi, (sopepaylater)",maaf bintang satu udah dilunasi suruh bayar lagi padahal cicilan bulan langsung lunasi tapi disuruh bayar lagi sopepaylater,maaf bintang satu sudah dilunasi suruh bayar lagi padahal cicilan bulan langsung lunasi tapi disuruh bayar lagi sopepaylater,"['maaf', 'bintang', 'satu', 'sudah', 'dilunasi', 'suruh', 'bayar', 'lagi', 'padahal', 'cicilan', 'bulan', 'langsung', 'lunasi', 'tapi', 'disuruh', 'bayar', 'lagi', 'sopepaylater']","['maaf', 'bintang', 'dilunasi', 'suruh', 'bayar', 'cicilan', 'langsung', 'lunasi', 'disuruh', 'bayar', 'sopepaylater']",maaf bintang lunas suruh bayar cicil langsung lunas suruh bayar sopepaylater
semua menjadi mudah.thanks for you,semua menjadi mudahthanks,semua menjadi mudahthanks,"['semua', 'menjadi', 'mudahthanks']",['mudahthanks'],mudahthanks
"Sudah bagus, klw boleh saran adakan fitur sedekah tanpa minimal nominal, terima kasih",sudah bagus boleh saran adakan fitur sedekah tanpa minimal nominal terima kasih,sudah bagus boleh saran adakan fitur sedekah tanpa minimal nominal terima kasih,"['sudah', 'bagus', 'boleh', 'saran', 'adakan', 'fitur', 'sedekah', 'tanpa', 'minimal', 'nominal', 'terima', 'kasih']","['bagus', 'saran', 'adakan', 'fitur', 'sedekah', 'minimal', 'nominal', 'terima', 'kasih']",bagus saran adakan fitur sedekah minimal nominal terima kasih
Mantaplah,mantaplah,mantaplah,['mantaplah'],['mantaplah'],mantap
"suka banget sih pake shopeepay ini, ga pernah ngebug, lelet, atau eror. sungkem dulu sma yg bkin aplikasi ini, keren,",suka banget pake shopeepay pernah ngebug lelet atau eror sungkem dulu bkin aplikasi keren,suka banget pakai shopeepay pernah ngebug lelet atau eror sungkem dulu bikin aplikasi keren,"['suka', 'banget', 'pakai', 'shopeepay', 'pernah', 'ngebug', 'lelet', 'atau', 'eror', 'sungkem', 'dulu', 'bikin', 'aplikasi', 'keren']","['suka', 'banget', 'pakai', 'shopeepay', 'ngebug', 'lelet', 'eror', 'sungkem', 'bikin', 'aplikasi', 'keren']",suka banget pakai shopeepay ngebug lelet eror sungkem bikin aplikasi keren
"saya bayar biaya pendidikan universitas terbuka lewat aplikasi ini. katanya 3 hari estimasinya. tp ini sudah 5 hari. dan uang saya lenyap begitu saja. apakah shopee melakukan penipuan ke pelanggan? mengambil uang pelanggan tapi tidak membayar biaya kuliah saya?. di web UT biaya kuliah saya belum lunas. sedangkan di shopee , kata CS nya udah berhasil pembayaran ny, katanya udh lunas. tapi di phak UT nya ternyata belum masuk sama skli. pas saya laporin shopee lagi, katan cs nya malh blg penangann",saya bayar biaya pendidikan universitas terbuka lewat aplikasi katanya hari estimasinya sudah hari uang saya lenyap begitu saja apakah shopee melakukan penipuan pelanggan mengambil uang pelanggan tapi tidak membayar biaya kuliah saya biaya kuliah saya belum lunas sedangkan shopee kata udah berhasil pembayaran katanya lunas tapi phak ternyata belum masuk sama skli saya laporin shopee lagi katan malh penangann,saya bayar biaya pendidikan universitas terbuka lewat aplikasi katanya hari estimasinya sudah hari uang saya lenyap begitu saja apakah shopee melakukan penipuan pelanggan mengambil uang pelanggan tapi tidak membayar biaya kuliah saya biaya kuliah saya belum lunas sedangkan shopee kata sudah berhasil pembayaran katanya lunas tapi phak ternyata belum masuk sama sekali saya laporin shopee lagi katan malah penangann,"['saya', 'bayar', 'biaya', 'pendidikan', 'universitas', 'terbuka', 'lewat', 'aplikasi', 'katanya', 'hari', 'estimasinya', 'sudah', 'hari', 'uang', 'saya', 'lenyap', 'begitu', 'saja', 'apakah', 'shopee', 'melakukan', 'penipuan', 'pelanggan', 'mengambil', 'uang', 'pelanggan', 'tapi', 'tidak', 'membayar', 'biaya', 'kuliah', 'saya', 'biaya', 'kuliah', 'saya', 'belum', 'lunas', 'sedangkan', 'shopee', 'kata', 'sudah', 'berhasil', 'pembayaran', 'katanya', 'lunas', 'tapi', 'phak', 'ternyata', 'belum', 'masuk', 'sama', 'sekali', 'saya', 'laporin', 'shopee', 'lagi', 'katan', 'malah', 'penangann']","['bayar', 'biaya', 'pendidikan', 'universitas', 'terbuka', 'aplikasi', 'estimasinya', 'uang', 'lenyap', 'shopee', 'penipuan', 'pelanggan', 'mengambil', 'uang', 'pelanggan', 'membayar', 'biaya', 'kuliah', 'biaya', 'kuliah', 'lunas', 'shopee', 'berhasil', 'pembayaran', 'lunas', 'phak', 'masuk', 'laporin', 'shopee', 'katan', 'penangann']",bayar biaya didik universitas buka aplikasi estimasi uang lenyap shopee tipu langgan ambil uang langgan bayar biaya kuliah biaya kuliah lunas shopee hasil bayar lunas phak masuk laporin shopee katan penangann
bagus sangat membantu,bagus sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']","['bagus', 'membantu']",bagus bantu
pelayanan bagus dan amanah,pelayanan bagus amanah,pelayanan bagus amanah,"['pelayanan', 'bagus', 'amanah']","['pelayanan', 'bagus', 'amanah']",layan bagus amanah
"saya rutin bayar setoran, malah jauh sbelum tgl jatuh tempo suda bayar malahan, kenapa akun saya di bekukan",saya rutin bayar setoran malah jauh sbelum jatuh tempo suda bayar malahan kenapa akun saya bekukan,saya rutin bayar setoran malah jauh sebelum jatuh tempo sudah bayar malahan kenapa akun saya bekukan,"['saya', 'rutin', 'bayar', 'setoran', 'malah', 'jauh', 'sebelum', 'jatuh', 'tempo', 'sudah', 'bayar', 'malahan', 'kenapa', 'akun', 'saya', 'bekukan']","['rutin', 'bayar', 'setoran', 'jatuh', 'tempo', 'bayar', 'akun', 'bekukan']",rutin bayar setor jatuh tempo bayar akun beku
sipp dahh,sipp dahh,sip dah,"['sip', 'dah']","['sip', 'dah']",sip dah
mantap membantu,mantap membantu,mantap membantu,"['mantap', 'membantu']","['mantap', 'membantu']",mantap bantu
good aplikasi,good aplikasi,good aplikasi,"['good', 'aplikasi']","['good', 'aplikasi']",good aplikasi
ribet daftar kagak terima² apk aneh,ribet daftar kagak terima aneh,ribet daftar kagak terima aneh,"['ribet', 'daftar', 'kagak', 'terima', 'aneh']","['ribet', 'daftar', 'kagak', 'terima', 'aneh']",ribet daftar kagak terima aneh
"Cs tidak profesional tidak bisa mengatasi penggunan omor phonsel shopee pay yang hilang, saya kehilangan akun shopee pay",tidak profesional tidak bisa mengatasi penggunan omor phonsel shopee yang hilang saya kehilangan akun shopee,tidak profesional tidak bisa mengatasi penggunan omor phonsel shopee yang hilang saya kehilangan akun shopee,"['tidak', 'profesional', 'tidak', 'bisa', 'mengatasi', 'penggunan', 'omor', 'phonsel', 'shopee', 'yang', 'hilang', 'saya', 'kehilangan', 'akun', 'shopee']","['profesional', 'mengatasi', 'penggunan', 'omor', 'phonsel', 'shopee', 'hilang', 'kehilangan', 'akun', 'shopee']",profesional atas gun omor phonsel shopee hilang hilang akun shopee
sangat membantu kalau lagi bokek.,sangat membantu kalau lagi bokek,sangat membantu kalau lagi bokek,"['sangat', 'membantu', 'kalau', 'lagi', 'bokek']","['membantu', 'bokek']",bantu bokek
bagus........................................................................................,bagus,bagus,['bagus'],['bagus'],bagus
mantabbb,mantabbb,mantabbb,['mantabbb'],['mantabbb'],mantabbb
shopeePay memang baik dalam pembelian segala hal,shopeepay memang baik dalam pembelian segala,shopeepay memang baik dalam pembelian segala,"['shopeepay', 'memang', 'baik', 'dalam', 'pembelian', 'segala']","['shopeepay', 'pembelian']",shopeepay beli
aplikasinya enteng dan simple buat qris,aplikasinya enteng simple buat qris,aplikasinya enteng simple buat qris,"['aplikasinya', 'enteng', 'simple', 'buat', 'qris']","['aplikasinya', 'enteng', 'simple', 'qris']",aplikasi enteng simple qris
kasih dulu 4 blum dibuka smoga bermaanfaat,kasih dulu blum dibuka smoga bermaanfaat,kasih dulu belum dibuka semoga bermaanfaat,"['kasih', 'dulu', 'belum', 'dibuka', 'semoga', 'bermaanfaat']","['kasih', 'dibuka', 'semoga', 'bermaanfaat']",kasih buka moga bermaanfaat
saya suka bagus banget,saya suka bagus banget,saya suka bagus banget,"['saya', 'suka', 'bagus', 'banget']","['suka', 'bagus', 'banget']",suka bagus banget
"secepat kilat, proses tranfer nya..",secepat kilat proses tranfer,secepat kilat proses tranfer,"['secepat', 'kilat', 'proses', 'tranfer']","['secepat', 'kilat', 'proses', 'tranfer']",cepat kilat proses tranfer
bermanfaat,bermanfaat,bermanfaat,['bermanfaat'],['bermanfaat'],manfaat
mebantu,mebantu,mebantu,['mebantu'],['mebantu'],mebantu
siip,siip,sip,['sip'],['sip'],sip
baru mencoba mudah mudahan gak ada masalah,baru mencoba mudah mudahan masalah,baru mencoba mudah mudahan masalah,"['baru', 'mencoba', 'mudah', 'mudahan', 'masalah']","['mencoba', 'mudah', 'mudahan']",coba mudah mudah
sopipaybku k blokir,sopipaybku blokir,sopipaybku blokir,"['sopipaybku', 'blokir']","['sopipaybku', 'blokir']",sopipaybku blokir
semoga ke depan nya menjadi platform yg amanah 🤲🏼🤲🏼🤲🏼,semoga depan menjadi platform amanah,semoga depan menjadi platform amanah,"['semoga', 'depan', 'menjadi', 'platform', 'amanah']","['semoga', 'platform', 'amanah']",moga platform amanah
baik dan lancar..,baik lancar,baik lancar,"['baik', 'lancar']",['lancar'],lancar
"isi gopay di keterangan gratis, bayar 11.000, masuk 10.000. gratisnya dari mana ya?",gopay keterangan gratis bayar  masuk  gratisnya dari mana,gopay keterangan gratis bayar masuk gratisnya dari mana,"['gopay', 'keterangan', 'gratis', 'bayar', 'masuk', 'gratisnya', 'dari', 'mana']","['gopay', 'keterangan', 'gratis', 'bayar', 'masuk', 'gratisnya']",gopay terang gratis bayar masuk gratis
sudah mengajukan beberapa kali sesuai dengan persyaratan malah diundur terus sampah,sudah mengajukan beberapa kali sesuai dengan persyaratan malah diundur terus sampah,sudah mengajukan beberapa kali sesuai dengan persyaratan malah diundur terus sampah,"['sudah', 'mengajukan', 'beberapa', 'kali', 'sesuai', 'dengan', 'persyaratan', 'malah', 'diundur', 'terus', 'sampah']","['mengajukan', 'kali', 'sesuai', 'persyaratan', 'diundur', 'sampah']",aju kali sesuai syarat undur sampah
"ini kenapa Steamwallet habis terus!? kapan bisa top-up nya kalo gitu terus njir ayolah di merchant lain ada terus yang ini malah ""habis""🥀 setinggi apa demand-nya njirr kok bisa stok-mu limited???🥀🥀😭",kenapa steamwallet habis terus kapan bisa topup kalo gitu terus njir ayolah merchant lain terus yang malah habis setinggi demandnya njirr bisa stokmu limited,kenapa steamwallet habis terus kapan bisa topup kalau begitu terus anjir ayolah merchant lain terus yang malah habis setinggi demandnya anjir bisa stokmu limited,"['kenapa', 'steamwallet', 'habis', 'terus', 'kapan', 'bisa', 'topup', 'kalau', 'begitu', 'terus', 'anjir', 'ayolah', 'merchant', 'lain', 'terus', 'yang', 'malah', 'habis', 'setinggi', 'demandnya', 'anjir', 'bisa', 'stokmu', 'limited']","['steamwallet', 'habis', 'topup', 'anjir', 'ayolah', 'merchant', 'habis', 'demandnya', 'anjir', 'stokmu', 'limited']",steamwallet habis topup anjir ayo merchant habis demandnya anjir stok limited
"rajanya free admin tf ke antar bank laink n ewallet,hrga pulsa n lain² bnyak promo n vouchernya,terbaik menurut saya",rajanya free admin antar bank laink ewallethrga pulsa lain bnyak promo vouchernyaterbaik menurut saya,rajanya free admin antar bank laink ewallethrga pulsa lain banyak promo vouchernyaterbaik menurut saya,"['rajanya', 'free', 'admin', 'antar', 'bank', 'laink', 'ewallethrga', 'pulsa', 'lain', 'banyak', 'promo', 'vouchernyaterbaik', 'menurut', 'saya']","['rajanya', 'free', 'admin', 'bank', 'laink', 'ewallethrga', 'pulsa', 'promo', 'vouchernyaterbaik']",raja free admin bank laink ewallethrga pulsa promo vouchernyaterbaik
"apk ini sangat membantu, memudahkan saya dalam bertransaksi belanja online",sangat membantu memudahkan saya dalam bertransaksi belanja online,sangat membantu memudahkan saya dalam bertransaksi belanja online,"['sangat', 'membantu', 'memudahkan', 'saya', 'dalam', 'bertransaksi', 'belanja', 'online']","['membantu', 'memudahkan', 'bertransaksi', 'belanja', 'online']",bantu mudah transaksi belanja online
tinggal pilih untuk penggalam informasi dlm perangkat kita,tinggal pilih untuk penggalam informasi perangkat kita,tinggal pilih untuk penggalam informasi perangkat kita,"['tinggal', 'pilih', 'untuk', 'penggalam', 'informasi', 'perangkat', 'kita']","['tinggal', 'pilih', 'penggalam', 'informasi', 'perangkat']",tinggal pilih penggalam informasi perangkat
belanja disini aja,belanja disini,belanja disini,"['belanja', 'disini']",['belanja'],belanja
"smoga shopeepay tambah maju dan sukses selalu,,apk yg pintar",smoga shopeepay tambah maju sukses selaluapk pintar,semoga shopeepay tambah maju sukses selaluapk pintar,"['semoga', 'shopeepay', 'tambah', 'maju', 'sukses', 'selaluapk', 'pintar']","['semoga', 'shopeepay', 'maju', 'sukses', 'selaluapk', 'pintar']",moga shopeepay maju sukses selaluapk pintar
mantaaaab jayaaaaa,mantaaaab jayaaaaa,mantaaaab jayaaaaa,"['mantaaaab', 'jayaaaaa']","['mantaaaab', 'jayaaaaa']",mantaaaab jayaaaaa
"lumayan bagus, bisa Anytime Anywhere, tak perlu repot ke counter maupun ATM",lumayan bagus bisa anytime anywhere perlu repot counter maupun,lumayan bagus bisa anytime anywhere perlu repot counter maupun,"['lumayan', 'bagus', 'bisa', 'anytime', 'anywhere', 'perlu', 'repot', 'counter', 'maupun']","['lumayan', 'bagus', 'anytime', 'anywhere', 'repot', 'counter']",lumayan bagus anytime anywhere repot counter
bagus sekali dalam bertransaksi,bagus sekali dalam bertransaksi,bagus sekali dalam bertransaksi,"['bagus', 'sekali', 'dalam', 'bertransaksi']","['bagus', 'bertransaksi']",bagus transaksi
"Mau beli Token Listrik PLN yang 20rb selalu sedang dalam perbaikan terus sudah seminggu lebih, masa perbaikan sampai selama itu? Sangat mengganggu sekali giliran token yang 50rb aja baru bisa, masa yang 20rb ga bisa, kalau kehabisan stock ya di isi lagi stock nya jangan dalam perbaikan dalam perbaikan mulu, udah nungguin daritadi masih kaya gitu terus.",beli token listrik yang rb selalu sedang dalam perbaikan terus sudah seminggu lebih masa perbaikan sampai selama sangat mengganggu sekali giliran token yang rb baru bisa masa yang rb bisa kalau kehabisan stock lagi stock jangan dalam perbaikan dalam perbaikan mulu udah nungguin daritadi masih kaya gitu terus,beli token listrik yang ribu selalu sedang dalam perbaikan terus sudah seminggu lebih masa perbaikan sampai selama sangat mengganggu sekali giliran token yang ribu baru bisa masa yang ribu bisa kalau kehabisan stock lagi stock jangan dalam perbaikan dalam perbaikan mulu sudah menunggu daritadi masih kayak begitu terus,"['beli', 'token', 'listrik', 'yang', 'ribu', 'selalu', 'sedang', 'dalam', 'perbaikan', 'terus', 'sudah', 'seminggu', 'lebih', 'masa', 'perbaikan', 'sampai', 'selama', 'sangat', 'mengganggu', 'sekali', 'giliran', 'token', 'yang', 'ribu', 'baru', 'bisa', 'masa', 'yang', 'ribu', 'bisa', 'kalau', 'kehabisan', 'stock', 'lagi', 'stock', 'jangan', 'dalam', 'perbaikan', 'dalam', 'perbaikan', 'mulu', 'sudah', 'menunggu', 'daritadi', 'masih', 'kayak', 'begitu', 'terus']","['beli', 'token', 'listrik', 'ribu', 'perbaikan', 'seminggu', 'perbaikan', 'mengganggu', 'giliran', 'token', 'ribu', 'ribu', 'kehabisan', 'stock', 'stock', 'perbaikan', 'perbaikan', 'mulu', 'menunggu', 'daritadi', 'kayak']",beli token listrik ribu baik minggu baik ganggu gilir token ribu ribu habis stock stock baik baik mulu tunggu daritadi kayak
shopepay kanapa gk bisa di gunakan lagi untuk belanja di tiktok,shopepay kanapa bisa gunakan lagi untuk belanja tiktok,shopepay kenapa bisa gunakan lagi untuk belanja tiktok,"['shopepay', 'kenapa', 'bisa', 'gunakan', 'lagi', 'untuk', 'belanja', 'tiktok']","['shopepay', 'belanja', 'tiktok']",shopepay belanja tiktok
MANTAP,mantap,mantap,['mantap'],['mantap'],mantap
belum puas,belum puas,belum puas,"['belum', 'puas']",['puas'],puas
ini sangat bagus dan membantu,sangat bagus membantu,sangat bagus membantu,"['sangat', 'bagus', 'membantu']","['bagus', 'membantu']",bagus bantu
oebih mudah menggunakan pembayaran digital melalui shoppepay,oebih mudah menggunakan pembayaran digital melalui shoppepay,oebih mudah menggunakan pembayaran digital melalui shoppepay,"['oebih', 'mudah', 'menggunakan', 'pembayaran', 'digital', 'melalui', 'shoppepay']","['oebih', 'mudah', 'pembayaran', 'digital', 'shoppepay']",oebih mudah bayar digital shoppepay
"Tempat praktis dan oke juga harganya terjangkau,,program & internalnya lebih bekerja dengan bagus,bebas iklan,bug,ataupun lelet,enak ketika dijalankan & mengakses menu menunya.Tapi di sayangkan sering ketika dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk/tidak stabil,terkadang loading nya lambat banget dan cuma berputar putar saja. Mungkin cuma hal yang biasa terjadi di apps ini dan yg lainnya sesuai pengalaman transaksi sukses,saran aja bagusnya dibenahi semuanya oke",tempat praktis juga harganya terjangkauprogram internalnya lebih bekerja dengan bagusbebas iklanbugataupun leletenak ketika dijalankan mengakses menu menunyatapi sayangkan sering ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruktidak stabilterkadang loading lambat banget cuma berputar putar saja mungkin cuma yang biasa terjadi apps lainnya sesuai pengalaman transaksi suksessaran bagusnya dibenahi semuanya,tempat praktis juga harganya terjangkauprogram internalnya lebih bekerja dengan bagusbebas iklanbugataupun leletenak ketika dijalankan mengakses menu menunyatapi sayangkan sering ketika dipakai terkadang agak sulit membukanya saat koneksi lagi buruktidak stabilterkadang loading lambat banget cuma berputar putar saja mungkin cuma yang biasa terjadi apps lainnya sesuai pengalaman transaksi suksessaran bagusnya dibenahi semuanya,"['tempat', 'praktis', 'juga', 'harganya', 'terjangkauprogram', 'internalnya', 'lebih', 'bekerja', 'dengan', 'bagusbebas', 'iklanbugataupun', 'leletenak', 'ketika', 'dijalankan', 'mengakses', 'menu', 'menunyatapi', 'sayangkan', 'sering', 'ketika', 'dipakai', 'terkadang', 'agak', 'sulit', 'membukanya', 'saat', 'koneksi', 'lagi', 'buruktidak', 'stabilterkadang', 'loading', 'lambat', 'banget', 'cuma', 'berputar', 'putar', 'saja', 'mungkin', 'cuma', 'yang', 'biasa', 'terjadi', 'apps', 'lainnya', 'sesuai', 'pengalaman', 'transaksi', 'suksessaran', 'bagusnya', 'dibenahi', 'semuanya']","['praktis', 'harganya', 'terjangkauprogram', 'internalnya', 'bagusbebas', 'iklanbugataupun', 'leletenak', 'dijalankan', 'mengakses', 'menu', 'menunyatapi', 'sayangkan', 'dipakai', 'terkadang', 'sulit', 'membukanya', 'koneksi', 'buruktidak', 'stabilterkadang', 'loading', 'lambat', 'banget', 'berputar', 'putar', 'apps', 'sesuai', 'pengalaman', 'transaksi', 'suksessaran', 'bagusnya', 'dibenahi']",praktis harga terjangkauprogram internal bagusbebas iklanbugataupun leletenak jalan akses menu menunyatapi sayang pakai terkadang sulit buka koneksi buruktidak stabilterkadang loading lambat banget putar putar apps sesuai alam transaksi suksessaran bagus benah
mudah cepat tepat,mudah cepat tepat,mudah cepat tepat,"['mudah', 'cepat', 'tepat']","['mudah', 'cepat']",mudah cepat
"woii minn, kenapa tiba-tiba saldoku habiss. padahal ngga di pake apa apa",woii minn kenapa tibatiba saldoku habiss padahal ngga pake,woii minn kenapa tibatiba saldoku habiss padahal tidak pakai,"['woii', 'minn', 'kenapa', 'tibatiba', 'saldoku', 'habiss', 'padahal', 'tidak', 'pakai']","['woii', 'minn', 'tibatiba', 'saldoku', 'habiss', 'pakai']",woii minn tibatiba saldo habiss pakai
nice belanja jadi murah,nice belanja jadi murah,nice belanja jadi murah,"['nice', 'belanja', 'jadi', 'murah']","['nice', 'belanja', 'murah']",nice belanja murah
bagus shopee,bagus shopee,bagus shopee,"['bagus', 'shopee']","['bagus', 'shopee']",bagus shopee
tidak bisa digunakan saldo numpuk,tidak bisa digunakan saldo numpuk,tidak bisa digunakan saldo numpuk,"['tidak', 'bisa', 'digunakan', 'saldo', 'numpuk']","['saldo', 'numpuk']",saldo numpuk
mantap..,mantap,mantap,['mantap'],['mantap'],mantap
mantap dan bagus,mantap bagus,mantap bagus,"['mantap', 'bagus']","['mantap', 'bagus']",mantap bagus
bagus dan sangat bermanfaat,bagus sangat bermanfaat,bagus sangat bermanfaat,"['bagus', 'sangat', 'bermanfaat']","['bagus', 'bermanfaat']",bagus manfaat
disconnya ga main2 cuy,disconnya main,disconnya main,"['disconnya', 'main']","['disconnya', 'main']",disconnya main
membohongi konsumen,membohongi konsumen,membohongi konsumen,"['membohongi', 'konsumen']","['membohongi', 'konsumen']",bohong konsumen
rumit,rumit,rumit,['rumit'],['rumit'],rumit
"cinta banget sama shopeepay, jangan berubah ya shopeepay",cinta banget sama shopeepay jangan berubah shopeepay,cinta banget sama shopeepay jangan berubah shopeepay,"['cinta', 'banget', 'sama', 'shopeepay', 'jangan', 'berubah', 'shopeepay']","['cinta', 'banget', 'shopeepay', 'berubah', 'shopeepay']",cinta banget shopeepay ubah shopeepay
mantap...mantap sea bank,mantapmantap bank,mantapmantap bank,"['mantapmantap', 'bank']","['mantapmantap', 'bank']",mantapmantap bank
"aplikasi nya bagus, banyak promo pulsa",aplikasi bagus banyak promo pulsa,aplikasi bagus banyak promo pulsa,"['aplikasi', 'bagus', 'banyak', 'promo', 'pulsa']","['aplikasi', 'bagus', 'promo', 'pulsa']",aplikasi bagus promo pulsa
banyak buzzer jir😹😹,banyak buzzer,banyak buzzer,"['banyak', 'buzzer']",['buzzer'],buzzer
sangat cocok untuk saya,sangat cocok untuk saya,sangat cocok untuk saya,"['sangat', 'cocok', 'untuk', 'saya']",['cocok'],cocok
kenapa token yg 20rb dan 25rb dalam perbaikan terus ya?,kenapa token rb rb dalam perbaikan terus,kenapa token ribu ribu dalam perbaikan terus,"['kenapa', 'token', 'ribu', 'ribu', 'dalam', 'perbaikan', 'terus']","['token', 'ribu', 'ribu', 'perbaikan']",token ribu ribu baik
"jangan pernah beli di shopee, seringkali pengiriman nya lama melewati batas estimasi terus.",jangan pernah beli shopee seringkali pengiriman lama melewati batas estimasi terus,jangan pernah beli shopee seringkali pengiriman lama melewati batas estimasi terus,"['jangan', 'pernah', 'beli', 'shopee', 'seringkali', 'pengiriman', 'lama', 'melewati', 'batas', 'estimasi', 'terus']","['beli', 'shopee', 'seringkali', 'pengiriman', 'melewati', 'batas', 'estimasi']",beli shopee seringkali kirim lewat batas estimasi
