Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
"truntukkkk Shoppe yg terhormat tolonggg di perbikinnn lagi apk nyyy ,masa dimna2 nongol truss iklanyaaa,pdhalll di situ gaada iklan shopee TPI tiba2 lngsung msuk,,,ke Shoppe nyy ,,,saya lagi lagi nontonn filmm ,Bru juga opening tiba2 lngsung pindh ke Shoppe dengan sendirinya PDAhal saya g sentuh apapun,,dan di lyarrny jugaa gaada iklann shoppeee,,,,,, ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba2 dengan sendirinya pindh ke shoppee!!!!!",truntukkkk shoppe terhormat tolonggg perbikinnn lagi nyyy masa dimna nongol truss iklanyaaapdhalll situ gaada iklan shopee tiba lngsung msukke shoppe saya lagi lagi nontonn filmm juga opening tiba lngsung pindh shoppe dengan sendirinya pdahal saya sentuh apapundan lyarrny jugaa gaada iklann shoppeee ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba dengan sendirinya pindh shoppee,truntukkkk shoppe terhormat tolonggg perbikinnn lagi nyyy masa dimna nongol truss iklanyaaapdhalll situ tidak ada iklan shopee tiba langsung msukke shoppe saya lagi lagi nontonn filmm juga opening tiba langsung pindh shoppe dengan sendirinya padahal saya sentuh apapundan lyarrny juga tidak ada iklann shoppeee ngenganggu banget apalgii kalau lgii ngrjainn tugass tiba dengan sendirinya pindh shoppee,"['truntukkkk', 'shoppe', 'terhormat', 'tolonggg', 'perbikinnn', 'lagi', 'nyyy', 'masa', 'dimna', 'nongol', 'truss', 'iklanyaaapdhalll', 'situ', 'tidak', 'ada', 'iklan', 'shopee', 'tiba', 'langsung', 'msukke', 'shoppe', 'saya', 'lagi', 'lagi', 'nontonn', 'filmm', 'juga', 'opening', 'tiba', 'langsung', 'pindh', 'shoppe', 'dengan', 'sendirinya', 'padahal', 'saya', 'sentuh', 'apapundan', 'lyarrny', 'juga', 'tidak', 'ada', 'iklann', 'shoppeee', 'ngenganggu', 'banget', 'apalgii', 'kalau', 'lgii', 'ngrjainn', 'tugass', 'tiba', 'dengan', 'sendirinya', 'pindh', 'shoppee']","['truntukkkk', 'shoppe', 'terhormat', 'tolonggg', 'perbikinnn', 'nyyy', 'dimna', 'nongol', 'truss', 'iklanyaaapdhalll', 'situ', 'iklan', 'shopee', 'langsung', 'msukke', 'shoppe', 'nontonn', 'filmm', 'opening', 'langsung', 'pindh', 'shoppe', 'sentuh', 'apapundan', 'lyarrny', 'iklann', 'shoppeee', 'ngenganggu', 'banget', 'apalgii', 'lgii', 'ngrjainn', 'tugass', 'pindh', 'shoppee']",truntukkkk shoppe hormat tolonggg perbikinnn nyyy dimna nongol truss iklanyaaapdhalll situ iklan shopee langsung msukke shoppe nontonn filmm opening langsung pindh shoppe sentuh apapundan lyarrny iklann shoppeee ngenganggu banget apalgii lgii ngrjainn tugass pindh shoppee
Cepat transfernya dan terpercaya,cepat transfernya terpercaya,cepat transfernya terpercaya,"['cepat', 'transfernya', 'terpercaya']","['cepat', 'transfernya', 'terpercaya']",cepat transfer percaya
"very easy, thnx a lot shopee",very easy thnx shopee,very easy thnx shopee,"['very', 'easy', 'thnx', 'shopee']","['very', 'easy', 'thnx', 'shopee']",very easy thnx shopee
cukup keren tapi limit harus bisa kecil dan lebih banyak,cukup keren tapi limit harus bisa kecil lebih banyak,cukup keren tapi limit harus bisa kecil lebih banyak,"['cukup', 'keren', 'tapi', 'limit', 'harus', 'bisa', 'kecil', 'lebih', 'banyak']","['keren', 'limit']",keren limit
membantu pisan kangge transaksi 😂🤭,membantu pisan kangge transaksi,membantu pisan kangge transaksi,"['membantu', 'pisan', 'kangge', 'transaksi']","['membantu', 'pisan', 'kangge', 'transaksi']",bantu pis kangge transaksi
puas blanja di shoppe,puas blanja shoppe,puas blanja shoppe,"['puas', 'blanja', 'shoppe']","['puas', 'blanja', 'shoppe']",puas blanja shoppe
mantap appnya,mantap appnya,mantap appnya,"['mantap', 'appnya']","['mantap', 'appnya']",mantap appnya
"harus banget pake parenting ya pake nya? ID Aja terus yang mau lu ambil, mau bayar, ID, Mau transfer? ID lagi, alah jembot",harus banget pake parenting pake terus yang ambil bayar transfer lagi alah jembot,harus banget pakai parenting pakai terus yang ambil bayar transfer lagi alah jembot,"['harus', 'banget', 'pakai', 'parenting', 'pakai', 'terus', 'yang', 'ambil', 'bayar', 'transfer', 'lagi', 'alah', 'jembot']","['banget', 'pakai', 'parenting', 'pakai', 'ambil', 'bayar', 'transfer', 'alah', 'jembot']",banget pakai parenting pakai ambil bayar transfer alah jembot
bagus sekali,bagus sekali,bagus sekali,"['bagus', 'sekali']",['bagus'],bagus
bagus memudahkn,bagus memudahkn,bagus memudahkn,"['bagus', 'memudahkn']","['bagus', 'memudahkn']",bagus memudahkn
