full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
@brown_none @txtdrimedia memang pantes kena megathrust. tapi yang kena yang brengsek aja.,brownnone txtdrimedia memang pantes kena megathrust tapi yang kena yang brengsek,brownnone txtdrimedia memang pantas kena megathrust tapi yang kena yang brengsek,"['brownnone', 'txtdrimedia', 'memang', 'pantas', 'kena', 'megathrust', 'tapi', 'yang', 'kena', 'yang', 'brengsek']","['brownnone', 'txtdrimedia', 'kena', 'megathrust', 'kena', 'brengsek']",brownnone txtdrimedia kena megathrust kena brengsek
@chubky Upaya mitigasi dut siapa tau tbtb megathrust,chubky upaya mitigasi siapa tbtb megathrust,chubky upaya mitigasi siapa tbtb megathrust,"['chubky', 'upaya', 'mitigasi', 'siapa', 'tbtb', 'megathrust']","['chubky', 'upaya', 'mitigasi', 'tbtb', 'megathrust']",chubky upaya mitigasi tbtb megathrust
Simulasi Tanggap Darurat Vertical Rescue dan Sosialisasi Megathrust telah dilakukan pada 20 November 2024 lalu di UPB Banten 3 Lontar. Kegiatan ini turut mengundang tim BMKG Provinsi Banten dan BPBD Kabupaten Tangerang sebagai narasumber. #bmkg_terbaik #Tim_terBAIK https://t.co/kvLwCgNgaV,simulasi tanggap darurat vertical rescue sosialisasi megathrust telah dilakukan pada november  lalu banten lontar kegiatan turut mengundang bmkg provinsi banten bpbd kabupaten tangerang sebagai narasumber bmkgterbaik timterbaik tcokvlwcgngav,simulasi tanggap darurat vertical rescue sosialisasi megathrust telah dilakukan pada november lalu banten lontar kegiatan turut mengundang bmkg provinsi banten bpbd kabupaten tangerang sebagai narasumber bmkgterbaik timterbaik tcokvlwcgngav,"['simulasi', 'tanggap', 'darurat', 'vertical', 'rescue', 'sosialisasi', 'megathrust', 'telah', 'dilakukan', 'pada', 'november', 'lalu', 'banten', 'lontar', 'kegiatan', 'turut', 'mengundang', 'bmkg', 'provinsi', 'banten', 'bpbd', 'kabupaten', 'tangerang', 'sebagai', 'narasumber', 'bmkgterbaik', 'timterbaik', 'tcokvlwcgngav']","['simulasi', 'tanggap', 'darurat', 'vertical', 'rescue', 'sosialisasi', 'megathrust', 'november', 'banten', 'lontar', 'kegiatan', 'mengundang', 'bmkg', 'provinsi', 'banten', 'bpbd', 'kabupaten', 'tangerang', 'narasumber', 'bmkgterbaik', 'timterbaik', 'tcokvlwcgngav']",simulasi tanggap darurat vertical rescue sosialisasi megathrust november banten lontar giat undang bmkg provinsi banten bpbd kabupaten tangerang narasumber bmkgterbaik timterbaik tcokvlwcgngav
@DokterTifa Lokasinya berhadapan lgs ke laut dgn mengambil hak tanah rakyat yg dirampas. Raykat sdh dizholimi. Smoga akn hancur olh Megathrust aamiin .,doktertifa lokasinya berhadapan laut mengambil tanah rakyat dirampas raykat dizholimi smoga hancur megathrust aamiin,doktertifa lokasinya berhadapan laut mengambil tanah rakyat dirampas raykat dizholimi semoga hancur megathrust amin,"['doktertifa', 'lokasinya', 'berhadapan', 'laut', 'mengambil', 'tanah', 'rakyat', 'dirampas', 'raykat', 'dizholimi', 'semoga', 'hancur', 'megathrust', 'amin']","['doktertifa', 'lokasinya', 'berhadapan', 'laut', 'mengambil', 'tanah', 'rakyat', 'dirampas', 'raykat', 'dizholimi', 'semoga', 'hancur', 'megathrust', 'amin']",doktertifa lokasi hadap laut ambil tanah rakyat rampas raykat dizholimi moga hancur megathrust amin
belom megathrust ini mah fuck pms,belom megathrust fuck,belum megathrust fuck,"['belum', 'megathrust', 'fuck']","['megathrust', 'fuck']",megathrust fuck
Ibarat timer alam yg ratusan tahun yg sudah jatuh tempo. Sepanjang garis merah spt samudera Indonesia harap selalu siap / was pada. @gempaBMKG https://t.co/9l6A6wAOQw,ibarat timer alam ratusan tahun sudah jatuh tempo sepanjang garis merah samudera indonesia harap selalu siap pada gempabmkg tcolawaoqw,ibarat timer alam ratusan tahun sudah jatuh tempo sepanjang garis merah samudera indonesia harap selalu siap pada gempabmkg tcolawaoqw,"['ibarat', 'timer', 'alam', 'ratusan', 'tahun', 'sudah', 'jatuh', 'tempo', 'sepanjang', 'garis', 'merah', 'samudera', 'indonesia', 'harap', 'selalu', 'siap', 'pada', 'gempabmkg', 'tcolawaoqw']","['timer', 'alam', 'ratusan', 'jatuh', 'tempo', 'garis', 'merah', 'samudera', 'indonesia', 'harap', 'gempabmkg', 'tcolawaoqw']",timer alam ratus jatuh tempo garis merah samudera indonesia harap gempabmkg tcolawaoqw
Gempa Megathrust memicu Tsunami Bengkulu 25 November 1833 https://t.co/GTuAn8P61t,gempa megathrust memicu tsunami bengkulu november  tcogtuanpt,gempa megathrust memicu tsunami bengkulu november tcogtuanpt,"['gempa', 'megathrust', 'memicu', 'tsunami', 'bengkulu', 'november', 'tcogtuanpt']","['gempa', 'megathrust', 'memicu', 'tsunami', 'bengkulu', 'november', 'tcogtuanpt']",gempa megathrust picu tsunami bengkulu november tcogtuanpt
Dr. A.F.W. Stumpff menceritakan peristiwa Gempa Megathrust Bengkulu Mw 8 8 - 9 0 pada 25 November 1833 : Diterangi cahaya rembulan bangunan dan pepohonan bergetar hebat semburan air muncul di antara retakan tanah lautan menggelegak dan sungai-sungai luber dilanda tsunami .,stumpff menceritakan peristiwa gempa megathrust bengkulu pada november  diterangi cahaya rembulan bangunan pepohonan bergetar hebat semburan muncul antara retakan tanah lautan menggelegak sungaisungai luber dilanda tsunami,stumpff menceritakan peristiwa gempa megathrust bengkulu pada november diterangi cahaya rembulan bangunan pepohonan bergetar hebat semburan muncul antara retakan tanah lautan menggelegak sungaisungai luber dilanda tsunami,"['stumpff', 'menceritakan', 'peristiwa', 'gempa', 'megathrust', 'bengkulu', 'pada', 'november', 'diterangi', 'cahaya', 'rembulan', 'bangunan', 'pepohonan', 'bergetar', 'hebat', 'semburan', 'muncul', 'antara', 'retakan', 'tanah', 'lautan', 'menggelegak', 'sungaisungai', 'luber', 'dilanda', 'tsunami']","['stumpff', 'menceritakan', 'peristiwa', 'gempa', 'megathrust', 'bengkulu', 'november', 'diterangi', 'cahaya', 'rembulan', 'bangunan', 'pepohonan', 'bergetar', 'hebat', 'semburan', 'muncul', 'retakan', 'tanah', 'lautan', 'menggelegak', 'sungaisungai', 'luber', 'dilanda', 'tsunami']",stumpff cerita peristiwa gempa megathrust bengkulu november rang cahaya rembulan bangun pohon getar hebat sembur muncul reta tanah laut gelegak sungaisungai luber landa tsunami
https://t.co/z8CyMavhO0 BMKG Ingatkan Gempa Megathrust di Indonesia Mitigasi Skala Prioritas! #BMKG #bmkgindonesia #Megathrust #gempabumi #Gempa,tcozcymavho bmkg ingatkan gempa megathrust indonesia mitigasi skala prioritas bmkg bmkgindonesia megathrust gempabumi gempa,tcozcymavho bmkg ingatkan gempa megathrust indonesia mitigasi skala prioritas bmkg bmkgindonesia megathrust gempabumi gempa,"['tcozcymavho', 'bmkg', 'ingatkan', 'gempa', 'megathrust', 'indonesia', 'mitigasi', 'skala', 'prioritas', 'bmkg', 'bmkgindonesia', 'megathrust', 'gempabumi', 'gempa']","['tcozcymavho', 'bmkg', 'ingatkan', 'gempa', 'megathrust', 'indonesia', 'mitigasi', 'skala', 'prioritas', 'bmkg', 'bmkgindonesia', 'megathrust', 'gempabumi', 'gempa']",tcozcymavho bmkg ingat gempa megathrust indonesia mitigasi skala prioritas bmkg bmkgindonesia megathrust gempabumi gempa
Berserah aspda Tuhan sajalh... https://t.co/aDl1ZWODda,berserah aspda tuhan sajalh tcoadlzwodda,berserah aspda tuhan sajalh tcoadlzwodda,"['berserah', 'aspda', 'tuhan', 'sajalh', 'tcoadlzwodda']","['berserah', 'aspda', 'tuhan', 'sajalh', 'tcoadlzwodda']",serah aspda tuhan sajalh tcoadlzwodda
