"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1874235370369642672","Tue Dec 31 23:25:08 +0000 2024","0","Cuma di indo berita tentang peringatan megathrust malah dihujat yg bikin berita. Bukannya mitigasi malah maki2","1874235370369642672","","","in","","0","0","0","https://x.com/undefined/status/1874235370369642672","1841774283556847618",
"1874155073171054805","Tue Dec 31 18:15:26 +0000 2024","0","Kalau ada apa2 dgn orang2 atau komoditas barang yg lewat udara atau lautan kita militer kita akan diserang luar dan kalah. Setelahnya entahlah. Mungkin tenggelam oleh tsunami stlh gempa megathrust. Atau oleh abu vulkanik. (Pekan kemarin &gt;2 gunung erupsi barengan.)","1874157431342961085","","trickymindful","in","","0","1","0","https://x.com/undefined/status/1874157431342961085","62229279",
"1874138622389350632","Tue Dec 31 17:00:42 +0000 2024","2","selamat tahun baru 2025 jangan lupa tetap waspada akan Gempa Bumi Megathrust masih mengintai Indonesia","1874138622389350632","","","in","","0","1","0","https://x.com/undefined/status/1874138622389350632","865601149",
"1874045632685703527","Tue Dec 31 16:31:17 +0000 2024","0","@msaid_didu Catat dan ingat baik2 ya pak @prabowo -th 2025 Trump mau geser perang ke asia Pasific - jika ingin stabilitas politik singkirkan fufufafa dan bapaknya yg raja korup di dunia - 2025 tahun bencana ancaman gempa megathrust depan mata ekonomi politik keamanan ada di tanganmu","1874131220185202695","","msaid_didu","in","","0","0","0","https://x.com/undefined/status/1874131220185202695","2283528067",
"1874032346833575964","Tue Dec 31 09:58:23 +0000 2024","0","lagi-lagi berita soal megathrust dengan ancaman tsunami yang entah kapan terjadinya... lhaaa wong tsunami besar korupsi ratusan triliun sudah terjadi rakyat indonesia mah tetep santuy cuyyy","1874032346833575964","","","in","","0","0","0","https://x.com/undefined/status/1874032346833575964","631705596",
"1874025452903309359","Tue Dec 31 09:31:00 +0000 2024","2","Dua dekade tsunami Aceh BRIN mengajak warga mewaspadai potensi ancaman tsunami ke Jakarta bisa dalam 2 5 jam. ️ https://t.co/VdRPS5jzu3","1874025452903309359","","","in","","0","0","0","https://x.com/undefined/status/1874025452903309359","69183155",
"1874003006058119450","Tue Dec 31 08:01:48 +0000 2024","0","Tsunami Bisa Hantam Jakarta 2 5 Jam Usai Megathrust Selat Sunda Pecah https://t.co/RFRpKFwM7N","1874003006058119450","","","in","","0","0","0","https://x.com/undefined/status/1874003006058119450","293864837",
"1873987255800615240","Tue Dec 31 06:59:13 +0000 2024","2","AKIBAT MABOK AGAMA &amp; TAK PERNAH MENCINTAI ALAM Dan ini akibat yg akan di timbulkan Jika ini terjadi Disebut KUTUKAN atau UJIAN ? seperti halnya ACEH Gunung Lewotobi ? https://t.co/drw0eGXPhs https://t.co/eipB0H0hPU","1873987255800615240","https://pbs.twimg.com/media/GgG9ek8aoAASvDX.jpg","","in","","0","0","0","https://x.com/undefined/status/1873987255800615240","1707296384347697152",
"1873987062753526170","Tue Dec 31 06:58:27 +0000 2024","0","Megathrust mulai ramai dibicarakan menjelang munculnya rencana pembangunan IKN. https://t.co/iXI3Ue0b5m","1873987062753526170","","","in","","0","0","0","https://x.com/undefined/status/1873987062753526170","2651176428",
"1873983874059165863","Tue Dec 31 06:45:47 +0000 2024","0","BRIN: Tsunami Tiba di Jakarta dalam 2 5 Jam Usai Gempa Megathrust https://t.co/ki6MTgiT0O","1873983874059165863","","","in","","0","0","1","https://x.com/undefined/status/1873983874059165863","1582972008479920129",
