"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1733381944103289080","Sat Dec 09 14:16:13 +0000 2023","5","@zakiberkata Menurut saya justru dengan mengenalkan istilah ilmiah yang akurat kita bisa mengenal banyak tentang suatu region min. Justru dengan memakai istilah Palung Webber di Zona Megathrust akan membentuk persepsi dan konsep salah dalam georeg wilayah ini.","1733490740502864024","","zakiberkata","in","","0","1","0","https://x.com/undefined/status/1733490740502864024","1639945522336391168",
"1733381944103289080","Sat Dec 09 14:14:54 +0000 2023","0","@Mauliaadnan @zakiberkata Namun pembentukan regionnya bukan didasarkan megathrust atau subduksi seperti biasa.","1733490409282916447","","gempaduniaid","in","","0","0","0","https://x.com/undefined/status/1733490409282916447","1639945522336391168",
"1733381944103289080","Sat Dec 09 12:16:05 +0000 2023","12","@gempaduniaid Bhs akademis yg kurang dipahami awam sdh sjk lma saya tinggalkan di sosmed sebisa mungkin sederhana krn esensi komunikasinya bkn definisi ilmiah yg lebih cocok disampaikan buat mhs sains tapi lebih pd menyampaikan keberadaan megathrust utk dipahami awam https://t.co/qJgcjgVRYx","1733460506114228359","https://pbs.twimg.com/media/GA583v9bwAAsS2F.jpg","gempaduniaid","in","","1","4","1","https://x.com/undefined/status/1733460506114228359","3165540462",
"1733344846591435107","Sat Dec 09 10:33:31 +0000 2023","0","@sociotalker Gimana kalau justru ikn ini yg menyelamatkan indonesia dari masalah besar dimasa depan akibat over populasi &amp; kemacetan di jakarta atau mungkin potensi megathrust di pulau jawa","1733434692752580661","","sociotalker","in","","0","2","0","https://x.com/undefined/status/1733434692752580661","1435858205775589376",
"1733381944103289080","Sat Dec 09 07:03:54 +0000 2023","755","Palung Weber. Salah satu palung terdalam di dunia yg mencapai kedalaman 7.440 meter dan lebar 150 KM. Palung ini hasil tumbukan antara lempeng raksasa (megathrust) Eurasia dengan lempeng pasifik dari arah timur https://t.co/glqD7P1GxL","1733381944103289080","https://pbs.twimg.com/media/GA406DeaoAAAq7p.jpg","","in","","8","17","172","https://x.com/undefined/status/1733381944103289080","3165540462",
"1733038750056505375","Fri Dec 08 08:26:09 +0000 2023","0","@indra_agusta Bukan megathrust.. ini berbeda. Sesar lembang adalah patahan. Sedangkan megathrust ada di sisi selatan pulau jawa di samudera indonesia.","1733040253366374461","","indra_agusta","in","","0","1","0","https://x.com/undefined/status/1733040253366374461","2218872146",
"1733021665293193307","Fri Dec 08 07:12:17 +0000 2023","0","Lokakarya Hasil Analisis Pengembangan Strategi Penanggulangan Bencana di Kawasan Megathrust Nasional 8 December 2023 https://t.co/JlXQVqwBQM","1733021665293193307","","","in","","0","0","0","https://x.com/undefined/status/1733021665293193307","2288275140",
"1732427245179080845","Wed Dec 06 15:51:10 +0000 2023","1","dan susah COKKKKK gw kira smt 5 kaya angin lalu aja trnyt BADAI ANGIN TOPAN PUTING BELIUNG TANAH LONGSOR GEMPA TSUNAMI MEGATHRUST","1732427471893696804","","soupsickles","in","","0","0","0","https://x.com/undefined/status/1732427471893696804","1603538207488249856",
"1732012565276848527","Tue Dec 05 12:22:30 +0000 2023","0","Namun kini 14 tahun pascagempa tak banyak lagi saya melihat rambu zona aman tsunami ataupun arah jalur evakuasi/tanda bangunan shelter di jalan protokol Kota Padang. Ini tanda Kota Padang belum siap menghadapi ancaman Mentawai megathrust ","1732012567881457902","","ahsanuz_zikri","in","","0","1","0","https://x.com/undefined/status/1732012567881457902","3013327351",
"1729802071036096553","Wed Nov 29 13:32:24 +0000 2023","0","@ecosocrights Sebenernya pakde maksain IKN itu kenapa ya? Apa ada faktor bencana alam yang tidak bisa pakde sebutkan lantang ke masyarakat? Megathrust jawa dan banjir jakarta misalnya Saya bukan 02 tapi penasaran aja","1729855831447924825","","ecosocrights","in","","0","1","0","https://x.com/undefined/status/1729855831447924825","213868400",
"1729669009887379712","Wed Nov 29 01:10:02 +0000 2023","0","Baru nonton Japan Sinks kok jadi parno ya. Jadi cocoklogi adanya berita megathrust di indonesia dan pembangunan ikn. Mesti pindah dari pulau jawa bali kah? Gara² pelem.","1729669009887379712","","","in","","0","0","0","https://x.com/undefined/status/1729669009887379712","197837535",
