"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1594622868549439490","Mon Nov 21 09:24:53 +0000 2022","7287","Saat kita terlalu aware megathrust dan tsunami di selatan jawa nyatanya sesar aktif di darat pun masih mengintai. Malah sesar di darat ini walopun mrganitudonya rendah tp getarannya lbh besar krn endapan diatasnya. Pengen buat sebaran sesar aktif di darat di Pulau Jawa. Ready?","1594622868549439490","","","in","","51","86","1326","https://x.com/undefined/status/1594622868549439490","1481963495906504705",
"1594542229896716288","Mon Nov 21 08:40:50 +0000 2022","0","@ardhanpm @SukaFilmID megathrust bwangg...","1594611786149265408","","","in","","0","0","0","https://x.com/undefined/status/1594611786149265408","90176624",
"1594611643799199744","Mon Nov 21 08:40:16 +0000 2022","0"," Reviu kembali dokumen rencana kontijensi dan rencana operasisi peta-peta jalur evakuasi sistem peringatan dini untuk mitigasi tsunami terutama di wilayah pesisir Jawa Sumatra. Serius dan segera. - Pakar Tsunami BRIN Widjo Kongko https://t.co/a48nVRN9uu","1594611643799199744","","","in","","0","0","1","https://x.com/undefined/status/1594611643799199744","126839060",
"1594609440115855360","Mon Nov 21 08:31:31 +0000 2022","0","Gempa Cianjur Berpotensi Merusak Terkait Megathrust Selatan Jawa? Begini Penjelasan Ahli https://t.co/DP7fP2FWHc #gempabumi #Cianjur","1594609440115855360","","","in","","0","0","0","https://x.com/undefined/status/1594609440115855360","1307144779",
"1594578349409853440","Mon Nov 21 08:23:54 +0000 2022","0","@this_is_naaa @yourdiar Mjb kk. Kalau pusatnya di daratan bisa gmn ya dampaknya? Bedanya dgn tektonik di laut atau vulkanik apa ya? Aku msh baru di bandung jd belum ngerti jg soal megathrust dan sesar2 lainnya :(","1594607521464885248","","_satemadura","in","","0","1","0","https://x.com/undefined/status/1594607521464885248","1084051929645211650",
"1594606948615585792","Mon Nov 21 08:21:37 +0000 2022","5","pdhl bru minggu kmaren denger berita megathrust","1594606948615585792","","","in","","0","0","0","https://x.com/undefined/status/1594606948615585792","1296627784798752770",
"1594605209640390656","Mon Nov 21 08:14:42 +0000 2022","1","pesannya ibuku kamu gaboleh bepergian dari akhir-awal tahun dan hindari laut katanya jaga-jaga kalo ada gempa (megathrust) yg berakibat tsunami. eh ternyata akitivas lempeng beneran aktif akhir-akhir ini.. doi ngasih warning kek gitu sejak agustus ","1594605209640390656","","","in","","0","0","1","https://x.com/undefined/status/1594605209640390656","126839060",
"1594605174777155584","Mon Nov 21 08:14:34 +0000 2022","0","Pakar Tsunami Sebut Gempa Cianjur Tak terkait Megathrust tapi Punya Potensi Merusak https://t.co/1U8n3Q8Kfs","1594605174777155584","","","in","","0","0","0","https://x.com/undefined/status/1594605174777155584","108774611",
"1594603755378724864","Mon Nov 21 08:08:56 +0000 2022","0","Ahli: Gempa Cianjur dengan Magnitudo 5 6 Berpotensi Merusak Tidak Terkait Gempa Megathrust #NewsRCTIPlus @RCTIPlus https://t.co/ui86aKr2Ra","1594603755378724864","","","in","","0","0","0","https://x.com/undefined/status/1594603755378724864","82837341",
"1594602567707029504","Mon Nov 21 08:04:13 +0000 2022","2","BRIN: Gempa Cianjur Tak Terkait Megathrust https://t.co/4rwWkJZvvq","1594602567707029504","","","in","","0","0","2","https://x.com/undefined/status/1594602567707029504","41730943",
"1594602519313145857","Mon Nov 21 08:04:01 +0000 2022","5","i remind you potensi megathrust itu ada sudah ada penelitiannya ilmuwan sering kasih warning ke pemerintah makanya mitigasi bencana perlu di-drill lagi di daerah rawan.. dan aktivitas lempeng indo-australia akhir-akhir ini aktif pls be safe guys jgn lupa sholat","1594602519313145857","","","in","","0","0","1","https://x.com/undefined/status/1594602519313145857","126839060",
"1594600691338686464","Mon Nov 21 07:56:45 +0000 2022","0","The pics dan vids di repnya.. ya allah sedih banget gue aja td langsung ngabur karena goyang gempanya tuh ga horizontal tp vertikal. Langsung keinget gempa yg palu sama yg megathrust jawa","1594600691338686464","","","in","","0","0","0","https://x.com/undefined/status/1594600691338686464","1476783206",
"1594598253600784384","Mon Nov 21 07:47:04 +0000 2022","0","Gempa tersebut terkait dengan sesar-sesar lokal yang ada di sekitar pusat gempa. https://t.co/cjdM5oIXI3","1594598253600784384","","","in","","0","0","0","https://x.com/undefined/status/1594598253600784384","22126902",
"1594592816847794176","Mon Nov 21 07:44:52 +0000 2022","0","@hadad_nurdin Teu kabayang pami megathrust","1594597699470622721","","hadad_nurdin","tl","","0","0","0","https://x.com/undefined/status/1594597699470622721","1241022293607768064",
